OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
00031625001,1,V,image,3,2010-02-14T11:32:57,2010-02-14T11:33:58,2010-02-14T11:33:27.500,60.8641862747635,600,143.340240022953,12.5062936293261,229.995026467136,DIRECT,False,False,False,467.0579104656117,680.6959069144987,143.35993,12.52489,5.20874899471952,6.194001668613,175.6674
00031626001,1,UVW1,image,1,2010-02-15T09:50:13,2010-02-15T10:05:59,2010-02-15T09:58:06.000,930.326308400063,1200,143.207408652492,12.5366115830892,229.998540420252,DIRECT,False,False,False,389.36373913894795,660.4879613068263,143.25002,12.54957,5.20995003082374,6.194188724839,174.6949
00031629001,1,UVW2,image,1,2010-02-18T10:09:13,2010-02-18T10:09:58,2010-02-18T10:09:35.500,44.879871039414,400,142.913591668298,12.6137491765749,230.002491099177,DIRECT,False,False,False,595.2925089818646,661.4327929173953,142.89811,12.62877,5.21568931287528,6.194789735641,171.4358
00031629002,1,UV grism,image,1,2010-02-18T10:12:26,2010-02-18T10:32:10,2010-02-18T10:22:18.000,1166.08385140973,200,142.892124942343,12.6319614723481,229.992274383474,NONE,False,False,False,1484.2675162310459,758.5876900442074,142.89676,12.62919,5.21569287243706,6.194791495499,171.4256
00031629002,2,UVW1,image,1,2010-02-18T10:10:21,2010-02-18T10:12:19,2010-02-18T10:11:20.000,115.907963228328,1200,142.892124942343,12.6319614723481,229.992274383474,DIRECT,False,False,False,511.1498298232268,597.7788291140756,142.89794,12.62883,5.2156883373065,6.194789976831,171.4346
00031629002,3,UVW2,event,1,2010-02-18T10:32:17,2010-02-18T10:33:58,2010-02-18T10:33:07.500,99.8740409480979,400,142.892124942343,12.6319614723481,229.992274383474,DIRECT,False,False,False,1050.5322461387864,1205.704702990301,142.89555,12.62948,5.2157187434724,6.194792994509,171.415
05000049001,1,V,image,1,2021-10-01T00:35:33,2021-10-01T00:35:43,2021-10-01T00:35:38.000,10.5765927285985,600,74.4340796165497,31.8524168132704,80.0066445780053,DIRECT,False,False,False,663.1642858168891,751.6997763553194,74.4401,31.88929,5.48730874092372,5.917726524408,110.8128
05000049001,1,V,image,2,2021-10-01T00:35:46,2021-10-01T00:37:38,2021-10-01T00:36:42.000,110.000744907802,600,74.4340796165497,31.8524168132704,80.0066445780053,DIRECT,False,False,False,656.0504617127854,756.8497636373394,74.44008,31.88931,5.48729566166211,5.917726735471,110.8136
05000049001,1,V,image,3,2021-10-01T00:37:40,2021-10-01T00:37:56,2021-10-01T00:37:48.000,14.8766847632219,600,74.4340796165497,31.8524168132704,80.0066445780053,DIRECT,False,False,False,657.8950674175992,759.4141508855454,74.44006,31.88933,5.48728232674387,5.917726953129,110.8145
05000049002,1,UVW1,image,1,2021-10-01T00:38:19,2021-10-01T00:42:56,2021-10-01T00:40:37.500,272.623751089171,1200,74.4396460100841,31.8958388187726,79.9946910225162,DIRECT,False,False,False,672.9543856658694,602.3777812965417,74.43999,31.88939,5.4872488763121,5.917727512113,110.8168
